name,category_b,category_s,rating,review_cnt,review_url,location,address,img
음무아,식당,양식,,88.0,https://m.place.naver.com/restaurant/1402516922/review/visitor,홍대,서울 마포구 성미산로 190-11 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231015_151%2F1697298232226nPTg3_JPEG%2FIMG_1728.JPG
건어물녀,식당,"맥주,호프",4.23,605.0,https://m.place.naver.com/restaurant/148425866/review/visitor,홍대,서울 마포구 양화로21길 33,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180527_153%2F15274321137902Qz4D_JPEG%2FzlQ_TaU9sMajkU9D7NTK7vNy.JPG.jpg
팔각도 합정역점,식당,닭갈비,4.62,634.0,https://m.place.naver.com/restaurant/1358985425/review/visitor,홍대,서울 마포구 양화로6길 76 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220504_53%2F1651640463901mucVP_JPEG%2F003.jpg
올바른김밥,식당,김밥,4.8,2469.0,https://m.place.naver.com/restaurant/703816866/review/visitor,홍대,서울 마포구 동교로46길 42 1층 올바른김밥,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220522_1%2F1653149206810WFp1I_JPEG%2FKakaoTalk_20220522_004931658_03.jpg
김앤김대게 서교본점,식당,게요리,4.4,1482.0,https://m.place.naver.com/restaurant/11858791/review/visitor,홍대,서울 마포구 양화로 100 3층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20171130_246%2F15120431754287DWEg_PNG%2Fimage.PNG
1999codonbur,식당,돈가스,,692.0,https://m.place.naver.com/restaurant/1835078284/review/visitor,홍대,서울 마포구 와우산로13길 35 2층 201호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230604_299%2F1685831044661S61EC_JPEG%2FScreenshot_20230603_173443_NAVER.jpg
역전포장마차 홍대점,식당,술집,4.64,1185.0,https://m.place.naver.com/restaurant/1276605451/review/visitor,홍대,서울 마포구 양화로 183 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230720_238%2F1689858626385xYb1G_JPEG%2F20230628_170105.jpg
추파 홍대점,식당,포장마차,,37.0,https://m.place.naver.com/restaurant/1743484915/review/visitor,홍대,서울 마포구 홍익로3길 44 4층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240117_112%2F1705471245311v6kai_JPEG%2FKakaoTalk_20231130_135718376_24.jpg
943 킹스크로스CAFE,식당,"카페,디저트",,2570.0,https://m.place.naver.com/restaurant/1883832743/review/visitor,홍대,서울 마포구 양화로16길 24 B1층~4,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200826_101%2F1598448318534142CR_GIF%2FjZckQSPcQbuo_vtApTFhIEKy.gif
에이셉피자 홍대점,식당,피자,,214.0,https://m.place.naver.com/restaurant/1193759736/review/visitor,홍대,서울 마포구 어울마당로 49 2F,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230317_59%2F1679029314325xC8iW_JPEG%2FKakaoTalk_20230317_135113276_28.jpg
금별맥주 홍대점,식당,"맥주,호프",4.5,781.0,https://m.place.naver.com/restaurant/1456505357/review/visitor,홍대,서울 마포구 독막로7길 63 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210317_19%2F1615969273836zg0dN_PNG%2FiSQW9DPXSSgvEoSxAK3Vmw2v.png
