name,review_url,score
엔젤노래방,https://m.place.naver.com/place/1870368815/review/visitor,0.8770773410797119
라온노래연습장,https://m.place.naver.com/place/1421874751/review/visitor,0.7956461906433105
채널VJ노래방,https://m.place.naver.com/place/37476130/review/visitor,0.8125206232070923
세븐틴코인노래연습장,https://m.place.naver.com/place/1922571491/review/visitor,0.6689202189445496
오디션노래연습장,https://m.place.naver.com/place/20632874/review/visitor,0.8531516790390015
MOOL노래방,https://m.place.naver.com/place/21889313/review/visitor,0.7409626245498657
팡팡노래방,https://m.place.naver.com/place/20631195/review/visitor,0.8039169311523438
대왕노래방,https://m.place.naver.com/place/18848458/review/visitor,0.8673305511474609
럭셔리수노래방,https://m.place.naver.com/place/18470390/review/visitor,0.8118460774421692
슈퍼스타 노래방,https://m.place.naver.com/place/20862411/review/visitor,0.9906163215637208
RPM노래방,https://m.place.naver.com/place/37475762/review/visitor,0.5618494749069214
뽕노래방,https://m.place.naver.com/place/31487877/review/visitor,0.9360645413398744
